;;;;;;Playing Time;;;;Performance;;;;;;;;Per 90 Minutes;;;;;;;;;;;;;;
"Player
?";Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;PK;PKatt
Rubén;es ESP;DF,MF;Espanyol;24;2001;21;8;812;9.0;0;1;1;0;0;0;2;0;0.00;0.11;0.11;0.00;0.11;0.00;0.89;0.11;12.5;0.89;0.11;0.00;0.00;0.00;0.00
Antonio Rüdiger;de GER;DF;Real Madrid;32;1993;18;16;1,49;16.6;1;0;1;1;0;0;0;0;0.06;0.00;0.06;0.06;0.06;0.06;0.78;0.06;7.7;0.79;0.06;0.08;1.00;0.00;0.00
Javi Rueda;es ESP;MF;Celta Vigo;23;2002;26;16;1,404;15.6;2;6;8;2;0;0;6;0;0.13;0.38;0.51;0.13;0.51;0.13;0.71;0.19;27.3;0.71;0.19;0.18;0.67;0.00;0.00
Matteo Ruggeri;it ITA;DF;Atlético Madrid;23;2002;26;20;1,774;19.7;0;3;3;0;0;0;4;0;0.00;0.15;0.15;0.00;0.15;0.00;0.25;0.10;40.0;0.25;0.10;0.00;0.00;0.00;0.00
Aitor Ruibal;es ESP;DF,MF;Real Betis;29;1996;27;20;1,808;20.1;4;2;6;4;0;0;6;1;0.20;0.10;0.30;0.20;0.30;0.20;1.54;0.60;38.7;1.54;0.60;0.13;0.33;0.00;0.00
Abel Ruiz;es ESP;FW;Girona;25;2000;9;0;187;2.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;2.38;0.48;20.0;2.41;0.48;0.00;0.00;0.00;0.00
Iñaki Rupérez;es ESP;DF;Real Sociedad;22;2003;1;0;1;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;0;;0.00;0.00;;;0;0
Mathew Ryan;au AUS;GK;Levante;33;1992;36;36;3,24;36.0;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.0;0.06;0.00;0.00;;0.00;0.00
Umar Sadiq;ng NGA;FW;Real Sociedad;28;1997;5;2;153;1.7;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.40;2.48;0.99;40.0;2.47;0.99;0.16;0.40;0.00;0.00
Umar Sadiq;ng NGA;FW;Valencia;28;1997;20;8;911;10.1;4;2;6;4;0;0;3;0;0.40;0.20;0.59;0.40;0.59;0.00;2.35;0.00;0.0;2.35;0.00;0.00;;0.00;0.00
Jan Salas;es ESP;MF;Mallorca;19;2005;2;0;17;0.2;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Kike Salas;es ESP;DF;Sevilla;23;2002;26;24;2,203;24.5;2;0;2;2;0;0;1;0;0.08;0.00;0.08;0.08;0.08;0.08;0.78;0.33;42.1;0.78;0.33;0.11;0.25;0.00;0.00
José Salinas;es ESP;DF;Espanyol;24;2000;11;2;257;2.9;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.34;0.00;0.0;0.35;0.00;0.00;;0.00;0.00
Oihan Sancet;es ESP;MF;Athletic Club;25;2000;28;22;1,788;19.9;4;0;4;2;2;2;4;1;0.20;0.00;0.20;0.10;0.10;0.20;2.41;0.75;31.3;2.42;0.76;0.08;0.27;0.10;0.10
Álex Sánchez;es ESP;FW;Elche;19;2006;1;0;6;0.1;0;1;1;0;0;0;0;0;0.00;15.00;15.00;0.00;15.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Alexis Sánchez;cl CHI;FW,MF;Sevilla;36;1988;28;11;1,308;14.5;4;2;6;3;1;1;3;0;0.28;0.14;0.41;0.21;0.34;0.28;1.72;0.62;36.0;1.72;0.62;0.16;0.44;0.07;0.07
Antonio Sánchez;es ESP;MF,DF;Mallorca;28;1997;30;9;1,073;11.9;0;0;0;0;0;0;5;1;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.25;50.0;0.50;0.25;0.00;0.00;0.00;0.00
Juanlu Sánchez;es ESP;MF,DF;Sevilla;21;2003;32;23;1,99;22.1;0;3;3;0;0;0;6;1;0.00;0.14;0.14;0.00;0.14;0.00;0.63;0.05;7.1;0.63;0.05;0.00;0.00;0.00;0.00
Borja Sánchez Laborde;es ESP;MF;Oviedo;29;1996;1;0;14;0.2;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Manu Sánchez;es ESP;DF;Levante;24;2000;33;31;2,814;31.3;1;2;3;1;0;0;8;0;0.03;0.06;0.10;0.03;0.10;0.03;0.42;0.13;30.8;0.42;0.13;0.08;0.25;0.00;0.00
Selton Sánchez;es ESP;MF;Athletic Club;18;2007;7;2;196;2.2;0;1;1;0;0;0;0;0;0.00;0.46;0.46;0.00;0.46;0.00;1.82;0.45;25.0;1.84;0.46;0.00;0.00;0.00;0.00
Álex Sancris;es ESP;MF,FW;Getafe;28;1997;18;5;708;7.9;0;1;1;0;0;0;4;1;0.00;0.13;0.13;0.00;0.13;0.00;1.65;0.63;38.5;1.65;0.64;0.00;0.00;0.00;0.00
Buba Sangaré;es ESP;DF,MF;Elche;17;2007;12;8;538;6.0;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.00;0.0;0.33;0.00;0.00;;0.00;0.00
Maroan Sannadi;ma MAR;FW;Athletic Club;24;2001;10;2;288;3.2;1;0;1;1;0;0;2;0;0.31;0.00;0.31;0.31;0.31;0.31;2.50;1.25;50.0;2.50;1.25;0.13;0.25;0.00;0.00
Baptiste Santamaria;fr FRA;MF;Valencia;30;1995;19;7;754;8.4;1;1;2;1;0;0;2;0;0.12;0.12;0.24;0.12;0.24;0.12;0.71;0.24;33.3;0.72;0.24;0.17;0.50;0.00;0.00
Yago Santiago;es ESP;MF;Elche;22;2003;9;3;281;3.1;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.65;0.00;0.0;0.64;0.00;0.00;;0.00;0.00
Renzo Saravia;ar ARG;DF;Valencia;32;1993;5;4;351;3.9;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.26;0.00;0.0;0.26;0.00;0.00;;0.00;0.00
Martin Satriano;uy URU;FW,MF;Getafe;24;2001;18;18;1,603;17.8;6;1;7;6;0;0;5;0;0.34;0.06;0.39;0.34;0.39;0.34;1.97;0.79;40.0;1.97;0.79;0.17;0.43;0.00;0.00
Taufik Seidu;es ESP;MF;Atlético Madrid;17;2008;1;0;23;0.3;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Manuel Serrano;es ESP;DF;Real Madrid;21;2004;1;0;7;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Nicolás Serrano;es ESP;MF;Athletic Club;22;2003;16;4;366;4.1;1;0;1;1;0;0;0;0;0.25;0.00;0.25;0.25;0.25;0.24;3.90;0.98;25.0;3.93;0.98;0.06;0.25;0.00;0.00
Kwasi Sibo;gh GHA;MF;Oviedo;27;1998;26;21;1,681;18.7;0;0;0;0;0;0;3;1;0.00;0.00;0.00;0.00;0.00;0.00;0.48;0.11;22.2;0.48;0.11;0.00;0.00;0.00;0.00
André Silva;pt POR;FW;Elche;29;1995;31;22;1,849;20.5;10;0;10;7;3;3;3;0;0.49;0.00;0.49;0.34;0.34;0.49;2.78;1.41;50.9;2.77;1.41;0.18;0.34;0.15;0.15
Giuliano Simeone;ar ARG;MF,FW;Atlético Madrid;22;2002;31;25;2,099;23.3;4;6;10;4;0;0;2;0;0.17;0.26;0.43;0.17;0.43;0.17;1.55;0.60;38.9;1.54;0.60;0.11;0.29;0.00;0.00
Unai Simón;es ESP;GK;Athletic Club;28;1997;37;37;3,33;37.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Antonio Sivera;es ESP;GK;Alavés;28;1996;38;38;3,42;38.0;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Alex Sola;es ESP;DF,FW;Getafe;26;1999;1;0;13;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Carlos Soler;es ESP;MF;Real Sociedad;28;1997;33;26;2,317;25.7;4;3;7;4;0;0;3;1;0.16;0.12;0.27;0.16;0.27;0.16;1.36;0.74;54.3;1.36;0.74;0.11;0.21;0.00;0.00
Jhon Solis;co COL;MF;Girona;20;2004;12;3;380;4.2;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.71;0.48;66.7;0.71;0.47;0.00;0.00;0.00;0.00
Manor Solomon;il ISR;MF;Villarreal;26;1999;6;1;150;1.7;1;1;2;1;0;0;0;0;0.60;0.60;1.20;0.60;1.20;0.59;1.18;0.59;50.0;1.20;0.60;0.50;1.00;0.00;0.00
Hugo Solozabal;es ESP;MF;Getafe;22;2003;1;0;11;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
David Soria;es ESP;GK;Getafe;32;1993;38;38;3,42;38.0;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Alexander Sørloth;no NOR;FW;Atlético Madrid;29;1995;35;20;1,98;22.0;13;0;13;13;0;0;4;1;0.59;0.00;0.59;0.59;0.59;0.00;0.13;0.07;50.0;0.13;0.07;0.00;0.00;0.00;0.00
Hugo Sotelo;es ESP;MF;Celta Vigo;21;2003;20;16;1,338;14.9;0;2;2;0;0;0;3;0;0.00;0.13;0.13;0.00;0.13;0.21;0.78;0.33;42.1;0.78;0.33;0.26;0.63;0.00;0.00
Djibril Sow;ch SUI;MF;Sevilla;28;1997;33;27;2,187;24.3;5;4;9;5;0;0;6;0;0.21;0.16;0.37;0.21;0.37;0.00;0.24;0.06;25.0;0.24;0.06;0.00;0.00;0.00;0.00
Carl Starfelt;se SWE;DF;Celta Vigo;30;1995;19;17;1,491;16.6;0;0;0;0;0;0;3;1;0.00;0.00;0.00;0.00;0.00;0.97;2.90;2.04;70.4;2.91;2.05;0.33;0.47;0.00;0.00
Orri Steinn Óskarsson;is ISL;FW;Real Sociedad;20;2004;20;8;835;9.3;9;0;9;9;0;0;5;0;0.97;0.00;0.97;0.97;0.97;1.09;4.13;2.61;63.2;4.15;2.62;0.26;0.42;0.65;0.87
Cristhian Stuani;uy URU;FW;Girona;38;1986;21;1;412;4.6;5;0;5;2;3;4;4;0;1.09;0.00;1.09;0.44;0.44;0.06;0.58;0.26;44.4;0.58;0.26;0.11;0.25;0.00;0.00
Denis Suárez;es ESP;MF;Alavés;31;1994;30;15;1,406;15.6;1;2;3;1;0;0;6;0;0.06;0.13;0.19;0.06;0.19;0.00;0.21;0.09;40.0;0.21;0.09;0.00;0.00;0.00;0.00
Gabriel Suazo;cl CHI;DF,MF;Sevilla;27;1997;29;25;2,096;23.3;0;2;2;0;0;0;7;0;0.00;0.09;0.09;0.00;0.09;0.26;2.02;0.61;30.4;2.03;0.62;0.13;0.43;0.00;0.00
Luka Su?i?;hr CRO;MF,FW;Real Sociedad;22;2002;22;10;1,022;11.4;3;1;4;3;0;0;1;0;0.26;0.09;0.35;0.26;0.35;0.35;1.63;0.85;52.2;1.63;0.85;0.22;0.42;0.00;0.00
Williot Swedberg;se SWE;FW,MF;Celta Vigo;21;2004;29;13;1,27;14.1;5;5;10;5;0;0;2;0;0.35;0.35;0.71;0.35;0.71;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Wojciech Szcz?sny;pl POL;GK;Barcelona;35;1990;8;8;720;8.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.59;3.09;1.59;51.5;3.09;1.59;0.19;0.37;0.00;0.00
César Tárrega;es ESP;DF;Valencia;23;2002;32;29;2,598;28.9;0;0;0;0;0;0;7;0;0.00;0.00;0.00;0.00;0.00;0.00;0.38;0.03;9.1;0.38;0.03;0.00;0.00;0.00;0.00
Aurélien Tchouaméni;fr FRA;MF;Real Madrid;25;2000;33;31;2,615;29.1;1;0;1;1;0;0;8;0;0.03;0.00;0.03;0.03;0.03;0.03;1.55;0.24;15.6;1.55;0.24;0.02;0.14;0.00;0.00
Nahuel Tenaglia;ar ARG;DF;Alavés;29;1996;36;36;3,239;36.0;2;0;2;2;0;0;3;0;0.06;0.00;0.06;0.06;0.06;0.06;0.67;0.22;33.3;0.67;0.22;0.08;0.25;0.00;0.00
Arnau Tenas;es ESP;GK;Villarreal;24;2001;10;10;900;10.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Marc-André ter Stegen;de GER;GK;Girona;33;1992;2;2;180;2.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Ramón Terrats;es ESP;MF;Espanyol;24;2000;29;12;1,03;11.4;1;2;3;1;0;0;0;0;0.09;0.17;0.26;0.09;0.26;0.09;1.32;0.26;20.0;1.31;0.26;0.07;0.33;0.00;0.00
Jeremy Toljan;de GER;DF;Levante;30;1994;37;37;3,164;35.2;1;4;5;1;0;0;8;0;0.03;0.11;0.14;0.03;0.14;0.03;0.26;0.03;11.1;0.26;0.03;0.11;1.00;0.00;0.00
Pablo Torre;es ESP;MF,FW;Mallorca;22;2003;35;19;1,599;17.8;4;4;8;4;0;0;4;0;0.23;0.23;0.45;0.23;0.45;0.22;1.40;0.67;48.0;1.41;0.68;0.16;0.33;0.00;0.00
Jofre Torrents;es ESP;DF;Barcelona;18;2007;3;0;50;0.6;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Ferran Torres;es ESP;FW;Barcelona;25;2000;33;23;1,965;21.8;16;2;18;16;0;0;2;0;0.73;0.09;0.82;0.73;0.82;0.73;3.17;1.70;53.6;3.16;1.69;0.23;0.43;0.00;0.00
Lucas Torró;es ESP;MF;Osasuna;31;1994;34;31;2,293;25.5;0;1;1;0;0;0;6;0;0.00;0.04;0.04;0.00;0.04;0.00;1.14;0.35;31.0;1.14;0.35;0.00;0.00;0.00;0.00
Óscar Trejo;ar ARG;MF;Rayo Vallecano;37;1988;7;1;144;1.6;0;1;1;0;0;0;2;0;0.00;0.62;0.62;0.00;0.62;0.00;0.63;0.63;100.0;0.62;0.62;0.00;0.00;0.00;0.00
Viktor Tsyhankov;ua UKR;MF,FW;Girona;27;1997;32;31;2,63;29.2;6;5;11;6;0;0;3;0;0.21;0.17;0.38;0.21;0.38;0.21;1.75;0.72;41.2;1.75;0.72;0.12;0.29;0.00;0.00
Kareem Tunde;es ESP;MF;Levante;19;2005;21;17;1,133;12.6;0;1;1;0;0;0;3;0;0.00;0.08;0.08;0.00;0.08;0.00;1.67;0.24;14.3;1.67;0.24;0.00;0.00;0.00;0.00
Beñat Turrientes;es ESP;MF;Real Sociedad;23;2002;27;16;1,348;15.0;0;3;3;0;0;0;7;0;0.00;0.20;0.20;0.00;0.20;0.00;1.33;0.40;30.0;1.34;0.40;0.00;0.00;0.00;0.00
Christantus Uche;ng NGA;FW;Getafe;22;2003;3;3;270;3.0;1;1;2;1;0;0;1;0;0.33;0.33;0.67;0.33;0.67;0.33;2.00;0.33;16.7;2.00;0.33;0.17;1.00;0.00;0.00
Filip Ugrinic;ch SUI;MF;Valencia;26;1999;27;17;1,504;16.7;0;3;3;0;0;0;3;0;0.00;0.18;0.18;0.00;0.18;0.00;1.20;0.18;15.0;1.20;0.18;0.00;0.00;0.00;0.00
Victor Valdepeñas;es ESP;DF;Real Madrid;18;2006;1;1;77;0.9;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Óscar Valentín;es ESP;MF;Rayo Vallecano;30;1994;33;26;2,108;23.4;1;0;1;1;0;0;3;1;0.04;0.00;0.04;0.04;0.04;0.04;0.56;0.17;30.8;0.56;0.17;0.08;0.25;0.00;0.00
Germán Valera;es ESP;MF,DF;Elche;23;2002;36;33;2,857;31.7;4;5;9;4;0;0;5;1;0.13;0.16;0.28;0.13;0.28;0.13;0.88;0.25;28.6;0.88;0.25;0.14;0.50;0.00;0.00
Martin Valjent;sk SVK;DF;Mallorca;29;1995;37;37;3,308;36.8;0;0;0;0;0;0;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.46;0.22;47.1;0.46;0.22;0.00;0.00;0.00;0.00
Álvaro Vallés;es ESP;GK;Real Betis;28;1997;28;28;2,52;28.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Federico Valverde;uy URU;MF,DF;Real Madrid;27;1998;33;31;2,74;30.4;5;8;13;5;0;0;3;1;0.16;0.26;0.43;0.16;0.43;0.16;1.68;0.72;43.1;1.68;0.72;0.10;0.23;0.00;0.00
Vladyslav Vanat;ua UKR;FW;Girona;23;2002;27;27;1,942;21.6;9;1;10;6;3;3;4;0;0.42;0.05;0.46;0.28;0.32;0.42;1.25;0.83;66.7;1.25;0.83;0.33;0.50;0.14;0.14
Obed Vargas;mx MEX;MF;Atlético Madrid;19;2005;12;8;740;8.2;0;1;1;0;0;0;2;0;0.00;0.12;0.12;0.00;0.12;0.00;0.61;0.00;0.0;0.61;0.00;0.00;;0.00;0.00
Ruben Vargas;ch SUI;MF,FW;Sevilla;26;1998;24;20;1,594;17.7;3;6;9;2;1;1;2;0;0.17;0.34;0.51;0.11;0.45;0.17;2.32;0.45;19.5;2.31;0.45;0.07;0.38;0.06;0.06
José Luis García Vayá;es ESP;MF,DF;Valencia;26;1998;31;26;2,225;24.7;2;0;2;1;1;3;4;0;0.08;0.00;0.08;0.04;0.04;0.08;0.97;0.12;12.5;0.97;0.12;0.08;0.67;0.04;0.12
Jesus Vazquez;es ESP;DF,MF;Valencia;22;2003;24;7;974;10.8;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.74;0.19;25.0;0.74;0.18;0.00;0.00;0.00;0.00
Luis Vázquez;ar ARG;FW;Getafe;24;2001;17;14;1,194;13.3;3;1;4;3;0;0;2;0;0.23;0.08;0.30;0.23;0.30;0.23;1.88;0.68;36.0;1.88;0.68;0.12;0.33;0.00;0.00
Matías Vecino;uy URU;MF;Celta Vigo;33;1991;6;2;135;1.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;1.33;0.00;0.0;1.33;0.00;0.00;;0.00;0.00
Renato Veiga;pt POR;DF;Villarreal;22;2003;32;27;2,481;27.6;0;0;0;0;0;0;5;1;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.11;33.3;0.33;0.11;0.00;0.00;0.00;0.00
Unai Vencedor Paris;es ESP;MF;Levante;24;2000;16;11;812;9.0;0;0;0;0;0;0;3;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Jozhua Vertrouwd;nl NED;DF;Rayo Vallecano;20;2004;9;3;446;5.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.00;0.0;0.20;0.00;0.00;;0.00;0.00
Mikel Vesga;es ESP;MF;Athletic Club;32;1993;23;1;465;5.2;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.58;0.00;0.0;0.58;0.00;0.00;;0.00;0.00
Carlos Vicente;es ESP;MF;Alavés;26;1999;21;11;1,258;14.0;5;0;5;2;3;3;1;0;0.36;0.00;0.36;0.14;0.14;0.36;0.86;0.43;50.0;0.86;0.43;0.42;0.83;0.21;0.21
Nacho Vidal;es ESP;DF;Oviedo;30;1995;29;27;2,263;25.1;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.60;0.12;20.0;0.60;0.12;0.00;0.00;0.00;0.00
Gonzalo Villar;es ESP;MF;Elche;27;1998;12;8;718;8.0;1;0;1;1;0;0;3;0;0.13;0.00;0.13;0.13;0.13;0.13;0.50;0.13;25.0;0.50;0.13;0.25;1.00;0.00;0.00
Federico Viñas;uy URU;FW,MF;Oviedo;27;1998;33;28;2,439;27.1;9;1;10;7;2;2;7;3;0.33;0.04;0.37;0.26;0.30;0.33;2.10;0.77;36.8;2.10;0.77;0.16;0.43;0.07;0.07
Jan Virgili;es ESP;MF,FW;Mallorca;19;2006;31;19;1,792;19.9;2;4;6;2;0;0;0;1;0.10;0.20;0.30;0.10;0.30;0.10;1.61;0.80;50.0;1.61;0.80;0.06;0.13;0.00;0.00
Daniel Vivian;es ESP;DF;Athletic Club;26;1999;31;28;2,564;28.5;1;0;1;1;0;0;8;1;0.04;0.00;0.04;0.04;0.04;0.04;0.60;0.21;35.3;0.60;0.21;0.06;0.17;0.00;0.00
Odysseas Vlachodimos;gr GRE;GK;Sevilla;31;1994;33;33;2,97;33.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Wesley;br BRA;MF;Real Sociedad;20;2005;5;1;88;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.0;1.02;0.00;0.00;;0.00;0.00
Iñaki Williams;gh GHA;MF,FW;Athletic Club;31;1994;30;25;2,157;24.0;3;6;9;2;1;1;2;0;0.13;0.25;0.38;0.08;0.33;0.13;2.38;0.83;35.1;2.38;0.83;0.05;0.15;0.04;0.04
Nico Williams;es ESP;MF;Athletic Club;23;2002;25;20;1,674;18.6;6;3;9;5;1;2;2;0;0.32;0.16;0.48;0.27;0.43;0.32;2.47;0.86;34.8;2.47;0.86;0.13;0.38;0.05;0.11
Axel Witsel;be BEL;MF;Girona;36;1989;32;30;2,526;28.1;1;2;3;1;0;0;2;1;0.04;0.07;0.11;0.04;0.11;0.04;0.71;0.18;25.0;0.71;0.18;0.05;0.20;0.00;0.00
Lamine Yamal;es ESP;MF,FW;Barcelona;18;2007;28;26;2,262;25.1;16;11;27;13;3;4;1;0;0.64;0.44;1.07;0.52;0.95;0.64;4.66;1.47;31.6;4.66;1.47;0.14;0.43;0.12;0.16
Daniel Yáñez;es ESP;MF;Real Madrid;18;2007;2;0;47;0.5;0;1;1;0;0;0;0;0;0.00;1.91;1.91;0.00;1.91;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Arsen Zakharyan;ru RUS;MF;Real Sociedad;22;2003;17;3;458;5.1;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;2.75;0.59;21.4;2.75;0.59;0.00;0.00;0.00;0.00
Bryan Zaragoza;es ESP;FW,MF;Celta Vigo;23;2001;19;13;1,131;12.6;1;1;2;0;1;1;1;0;0.08;0.08;0.16;0.00;0.08;0.08;2.06;0.95;46.2;2.07;0.95;0.04;0.08;0.08;0.08
Igor Zubeldia;es ESP;DF;Real Sociedad;28;1997;25;23;2,082;23.1;0;1;1;0;0;0;9;0;0.00;0.04;0.04;0.00;0.04;0.00;0.26;0.04;16.7;0.26;0.04;0.00;0.00;0.00;0.00
