;;;;;;Playing Time;;;;Performance;;;;;;;;Per 90 Minutes;;;;;;;;;;;;;;
"Player
?";Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;PK;PKatt
Hugo García;es ESP;MF;Celta Vigo;18;2006;1;0;8;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Joan García;es ESP;GK;Barcelona;24;2001;30;30;2,7;30.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Pablo Garcia;es ESP;MF;Real Betis;19;2006;15;2;388;4.3;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;3.02;0.93;30.8;3.02;0.93;0.00;0.00;0.00;0.00
Rubén García;es ESP;MF,FW;Osasuna;32;1993;35;28;2,229;24.8;2;5;7;2;0;0;6;0;0.08;0.20;0.28;0.08;0.28;0.08;1.25;0.40;32.3;1.25;0.40;0.06;0.20;0.00;0.00
Víctor García;es ESP;MF,FW;Levante;27;1997;21;12;1,04;11.6;2;1;3;2;0;0;1;0;0.17;0.09;0.26;0.17;0.26;0.17;1.64;0.69;42.1;1.64;0.69;0.11;0.25;0.00;0.00
Federico Gattoni;ar ARG;DF;Sevilla;26;1999;1;0;10;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Gavi;es ESP;MF;Barcelona;20;2004;11;7;573;6.4;0;1;1;0;0;0;3;0;0.00;0.16;0.16;0.00;0.16;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Paulo Gazzaniga;ar ARG;GK;Girona;33;1992;35;35;3,102;34.5;0;0;0;0;0;0;4;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Mourad El Ghezouani;ma MAR;FW;Elche;27;1998;2;0;50;0.6;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;1.67;0.00;0.0;1.80;0.00;0.00;;0.00;0.00
Bryan Gil;es ESP;MF,FW;Girona;24;2001;29;20;1,578;17.5;0;3;3;0;0;0;6;0;0.00;0.17;0.17;0.00;0.17;0.00;1.54;0.40;25.9;1.54;0.40;0.00;0.00;0.00;0.00
Moi Gómez;es ESP;MF;Osasuna;31;1994;26;12;1,201;13.3;0;2;2;0;0;0;3;0;0.00;0.15;0.15;0.00;0.15;0.00;0.83;0.15;18.2;0.82;0.15;0.00;0.00;0.00;0.00
Sergio Gómez;es ESP;DF;Real Sociedad;24;2000;35;30;2,701;30.0;0;6;6;0;0;0;5;1;0.00;0.20;0.20;0.00;0.20;0.00;0.40;0.00;0.0;0.40;0.00;0.00;;0.00;0.00
Unai Gómez;es ESP;MF;Athletic Club;22;2003;26;12;936;10.4;1;1;2;1;0;0;1;0;0.10;0.10;0.19;0.10;0.19;0.10;2.21;0.67;30.4;2.21;0.67;0.04;0.14;0.00;0.00
Valentín Gómez;ar ARG;DF;Real Betis;22;2003;28;19;1,882;20.9;1;0;1;1;0;0;5;0;0.05;0.00;0.05;0.05;0.05;0.05;0.53;0.24;45.5;0.53;0.24;0.09;0.20;0.00;0.00
Hugo González;es ESP;FW;Celta Vigo;22;2003;1;0;8;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Nicolás González;ar ARG;MF,DF;Atlético Madrid;27;1998;24;18;1,448;16.1;5;0;5;5;0;0;4;1;0.31;0.00;0.31;0.31;0.31;0.31;2.67;1.30;48.8;2.67;1.31;0.12;0.24;0.00;0.00
Urko González;es ESP;MF;Espanyol;24;2001;35;28;2,623;29.1;0;1;1;0;0;0;7;0;0.00;0.03;0.03;0.00;0.03;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Urko González;es ESP;DF,MF;Real Sociedad;24;2001;1;0;11;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.62;0.03;5.6;0.62;0.03;0.00;0.00;0.00;0.00
Andoni Gorosabel;es ESP;DF;Athletic Club;28;1996;24;15;1,36;15.1;0;1;1;0;0;0;3;0;0.00;0.07;0.07;0.00;0.07;0.00;0.33;0.07;20.0;0.33;0.07;0.00;0.00;0.00;0.00
Jon Gorrotxategi;es ESP;MF;Real Sociedad;23;2002;30;26;2,21;24.6;1;3;4;1;0;0;7;0;0.04;0.12;0.16;0.04;0.16;0.04;0.53;0.04;7.7;0.53;0.04;0.08;1.00;0.00;0.00
Mikel Goti;es ESP;MF;Real Sociedad;23;2002;4;1;76;0.8;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;3.75;0.00;0.0;3.55;0.00;0.00;;0.00;0.00
Antoine Griezmann;fr FRA;FW;Atlético Madrid;34;1991;34;13;1,481;16.5;7;4;11;7;0;0;1;0;0.43;0.24;0.67;0.43;0.67;0.42;2.85;1.52;53.2;2.86;1.52;0.15;0.28;0.00;0.00
Nemanja Gudelj;rs SRB;DF,MF;Sevilla;33;1991;34;26;2,348;26.1;2;0;2;2;0;0;9;0;0.08;0.00;0.08;0.08;0.08;0.08;1.19;0.34;29.0;1.19;0.34;0.06;0.22;0.00;0.00
Gonçalo Guedes;pt POR;MF;Real Sociedad;28;1996;32;22;1,823;20.3;8;4;12;8;0;0;3;0;0.39;0.20;0.59;0.39;0.59;0.39;2.27;0.89;39.1;2.27;0.89;0.17;0.44;0.00;0.00
Javier Guerra;es ESP;MF,FW;Valencia;22;2003;36;25;2,061;22.9;4;6;10;4;0;0;3;0;0.17;0.26;0.44;0.17;0.44;0.17;1.35;0.52;38.7;1.35;0.52;0.13;0.33;0.00;0.00
Daniel Guerrero;es ESP;MF;Real Betis;20;2005;1;0;1;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;0;;0.00;0.00;;;0;0
Ander Guevara;es ESP;MF;Alavés;28;1997;25;2;654;7.3;1;1;2;1;0;0;4;1;0.14;0.14;0.28;0.14;0.28;0.14;0.68;0.14;20.0;0.69;0.14;0.20;1.00;0.00;0.00
Pape Gueye;sn SEN;MF;Villarreal;26;1999;30;26;2,131;23.7;5;2;7;4;1;1;8;0;0.21;0.08;0.30;0.17;0.25;0.21;1.98;0.55;27.7;1.98;0.55;0.11;0.38;0.04;0.04
Arda Güler;tr TUR;MF;Real Madrid;20;2005;33;25;2,014;22.4;4;9;13;4;0;0;1;0;0.18;0.40;0.58;0.18;0.58;0.18;2.19;0.85;38.8;2.19;0.85;0.08;0.21;0.00;0.00
Gerard Gumbau;es ESP;MF;Rayo Vallecano;30;1994;28;14;1,175;13.1;0;3;3;0;0;0;4;0;0.00;0.23;0.23;0.00;0.23;0.00;1.53;0.38;25.0;1.53;0.38;0.00;0.00;0.00;0.00
Jon Guridi;es ESP;MF,FW;Alavés;30;1995;28;15;1,238;13.8;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;1.09;0.29;26.7;1.09;0.29;0.00;0.00;0.00;0.00
Gorka Guruzeta;es ESP;FW;Athletic Club;28;1996;35;28;2,363;26.3;10;3;13;9;1;1;6;1;0.38;0.11;0.50;0.34;0.46;0.38;3.19;1.22;38.1;3.20;1.22;0.12;0.31;0.04;0.04
Dávid Hancko;sk SVK;DF;Atlético Madrid;27;1997;30;27;2,432;27.0;0;2;2;0;0;0;2;0;0.00;0.07;0.07;0.00;0.07;0.00;0.78;0.19;23.8;0.78;0.19;0.00;0.00;0.00;0.00
Haissem Hassan;eg EGY;MF,FW;Oviedo;23;2002;37;20;1,942;21.6;0;3;3;0;0;0;1;0;0.00;0.14;0.14;0.00;0.14;0.00;1.57;0.37;23.5;1.58;0.37;0.00;0.00;0.00;0.00
Jorge Herrando;es ESP;DF;Osasuna;24;2001;28;17;1,6;17.8;0;1;1;0;0;0;3;0;0.00;0.06;0.06;0.00;0.06;0.00;0.17;0.00;0.0;0.17;0.00;0.00;;0.00;0.00
Sergio Herrera;es ESP;GK;Osasuna;32;1993;37;37;3,284;36.5;0;0;0;0;0;0;3;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Yangel Herrera;ve VEN;MF;Girona;27;1998;2;2;110;1.2;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.86;0.17;20.0;0.86;0.17;0.00;0.00;0.00;0.00
Yangel Herrera;ve VEN;MF;Real Sociedad;27;1998;12;6;526;5.8;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.83;0.00;0.0;0.82;0.00;0.00;;0.00;0.00
